club id,club name,club abbreviation,accurate back zone pass,accurate corners intobox,accurate cross,accurate cross nocorner,accurate fwd zone pass,accurate goal kicks,accurate launches,accurate layoffs,accurate long balls,accurate pass,accurate throws,aerial lost,aerial won,att hd goal,att ibox goal,att lf goal,att obox goal,att pen goal,att rf goal,att setpiece,attempted tackle foul,attempts conceded ibox,attempts conceded obox,ball recovery,blocked scoring att,clean sheet,clearance off line,corner taken,drops,failed back zone pass,failed corner intobox,failed cross,failed cross nocorner,failed dribble,failed fwd zone pass,failed launches,failed layoffs,failed long balls,failed short pass,failed throws,fk foul lost,fk foul won,games played,goal assist,goals,goals conceded,goals conceded ibox,goals conceded obox,good claim,ground duel lost,ground duel won,hand ball,inaccurate goal kicks,interception,last man tackle,lost tackle,ontarget scoring att,open play pass,outfielder block,att pen miss,att pen taken,pen goals conceded,penalty conceded,penalty won,penalty save,poss lost all,possession percentage,post scoring att,putthrough block dist,putthrough block dist won,saves,shots conc onfield,successful open play pass,successful dribble,successful short pass,total att assist,total clearance,total offside,total pass,total pass miss,total scoring att,won corners,won tackle,yellow card,red card,total red card,duel,duel lost,duel won,aerial duel,ground duel,accurate cross per,accurate fwd zone pass per,accurate pass per,accurate shooting per,goal conversion per,tackle success per,total matches,home matches,away matches,total wins,home wins,away wins,total losses,home losses,away losses,total draws,home draws,away draws,successfull dribble,successfull short pass,att freekick goal,own goals,own goals accrued,pts dropped winning pos,second yellow,other goals,pts gained losing pos
5.0,New York Red Bulls,RBNY,5780.0,44.0,197.0,141.0,6272.0,338.0,154.0,444.0,1080.0,11855.0,567.0,496.0,458.0,9.0,49.0,8.0,6.0,7.0,38.0,8.0,191.0,110.0,61.0,2126.0,79.0,6.0,10.0,166.0,1.0,613.0,113.0,597.0,443.0,184.0,2828.0,385.0,45.0,868.0,1976.0,126.0,400.0,351.0,34.0,54.0,55.0,50.0,40.0,10.0,29.0,1037.0,1077.0,26.0,146.0,555.0,3.0,80.0,158.0,13865.0,121.0,1.0,8.0,8.0,10.0,8.0,2.0,4582.0,53.0,9.0,498.0,225.0,115.0,463.0,11299.0,224.0,10775.0,280.0,694.0,87.0,14699.0,2844.0,402.0,166.0,451.0,53.0,3.0,3.0,3068.0,1533.0,1535.0,954.0,2114.0,24.81,73.14,80.65,39.3,13.68,84.93,34.0,17.0,17.0,13.0,10.0,3.0,10.0,3.0,7.0,11.0,4.0,7.0,224.0,10775.0,,,,,,,
6.0,Sporting Kansas City,SKC,5837.0,61.0,173.0,101.0,6251.0,310.0,198.0,513.0,1298.0,11915.0,637.0,598.0,603.0,9.0,39.0,18.0,9.0,7.0,20.0,24.0,263.0,94.0,39.0,2049.0,120.0,10.0,8.0,180.0,2.0,611.0,99.0,468.0,321.0,266.0,2875.0,524.0,32.0,1014.0,2004.0,203.0,499.0,471.0,34.0,37.0,48.0,41.0,32.0,9.0,25.0,1311.0,1276.0,23.0,103.0,556.0,2.0,118.0,160.0,14060.0,75.0,1.0,8.0,6.0,7.0,8.0,1.0,4891.0,57.0,10.0,588.0,304.0,85.0,350.0,11280.0,229.0,10617.0,302.0,847.0,79.0,14933.0,3018.0,468.0,180.0,514.0,62.0,3.0,5.0,3788.0,1909.0,1879.0,1201.0,2587.0,26.99,71.63,79.79,34.19,10.26,81.33,34.0,17.0,17.0,14.0,6.0,8.0,13.0,5.0,8.0,7.0,6.0,1.0,229.0,10617.0,1.0,2.0,1.0,2.0,2.0,,
7.0,Colorado Rapids,COL,5765.0,49.0,150.0,89.0,5953.0,291.0,156.0,366.0,1397.0,11568.0,682.0,523.0,462.0,7.0,34.0,20.0,9.0,9.0,15.0,15.0,195.0,105.0,51.0,1944.0,106.0,9.0,3.0,174.0,2.0,637.0,111.0,453.0,317.0,203.0,2920.0,471.0,37.0,1147.0,1957.0,158.0,392.0,348.0,34.0,28.0,43.0,62.0,56.0,6.0,41.0,1153.0,1109.0,27.0,141.0,512.0,1.0,89.0,166.0,13803.0,68.0,,10.0,6.0,7.0,10.0,,4867.0,51.0,10.0,534.0,313.0,93.0,377.0,11015.0,218.0,10171.0,330.0,683.0,88.0,14672.0,3104.0,476.0,174.0,492.0,52.0,1.0,5.0,3247.0,1676.0,1571.0,985.0,2262.0,24.88,70.17,78.84,34.87,9.03,84.68,34.0,17.0,17.0,8.0,6.0,2.0,18.0,6.0,12.0,8.0,5.0,3.0,218.0,10171.0,1.0,1.0,1.0,,4.0,,
8.0,Columbus Crew SC,CLB,6488.0,56.0,187.0,127.0,6575.0,447.0,112.0,632.0,1311.0,12876.0,635.0,441.0,445.0,6.0,40.0,9.0,12.0,6.0,35.0,20.0,191.0,112.0,43.0,2125.0,102.0,8.0,2.0,179.0,2.0,677.0,88.0,539.0,434.0,207.0,2614.0,302.0,50.0,777.0,1975.0,159.0,411.0,362.0,34.0,47.0,52.0,42.0,39.0,3.0,25.0,1105.0,1103.0,30.0,96.0,539.0,4.0,92.0,161.0,14750.0,92.0,2.0,9.0,2.0,4.0,9.0,2.0,4500.0,54.0,16.0,501.0,244.0,112.0,419.0,12185.0,201.0,11565.0,329.0,843.0,80.0,15628.0,2752.0,474.0,179.0,500.0,56.0,1.0,4.0,3094.0,1546.0,1548.0,886.0,2208.0,25.76,75.48,82.39,33.97,10.97,84.46,34.0,17.0,17.0,14.0,9.0,5.0,10.0,4.0,6.0,10.0,4.0,6.0,201.0,11565.0,2.0,2.0,1.0,,3.0,1.0,
9.0,New England Revolution,NE,4012.0,45.0,126.0,64.0,6289.0,280.0,207.0,527.0,1161.0,10175.0,620.0,594.0,495.0,6.0,40.0,10.0,11.0,4.0,32.0,32.0,187.0,109.0,45.0,1964.0,125.0,8.0,8.0,211.0,1.0,486.0,114.0,421.0,271.0,289.0,3144.0,695.0,51.0,1285.0,1924.0,247.0,428.0,400.0,34.0,49.0,51.0,46.0,36.0,10.0,27.0,1251.0,1177.0,19.0,182.0,486.0,3.0,110.0,180.0,12440.0,91.0,,5.0,3.0,5.0,5.0,2.0,5060.0,49.0,4.0,552.0,315.0,100.0,433.0,9597.0,228.0,9014.0,309.0,851.0,54.0,13384.0,3209.0,468.0,211.0,493.0,58.0,2.0,2.0,3517.0,1845.0,1672.0,1089.0,2428.0,23.03,69.36,76.02,38.46,10.9,81.76,34.0,17.0,17.0,17.0,11.0,6.0,13.0,4.0,9.0,4.0,2.0,2.0,228.0,9014.0,2.0,1.0,2.0,,,1.0,
10.0,San Jose Earthquakes,SJ,5395.0,39.0,169.0,112.0,5699.0,374.0,349.0,330.0,1166.0,10925.0,660.0,630.0,700.0,3.0,29.0,9.0,6.0,2.0,22.0,12.0,181.0,130.0,62.0,2043.0,80.0,6.0,5.0,118.0,3.0,632.0,71.0,520.0,397.0,200.0,2879.0,599.0,48.0,994.0,1997.0,143.0,413.0,408.0,34.0,26.0,35.0,50.0,44.0,6.0,36.0,1124.0,1090.0,24.0,143.0,568.0,2.0,63.0,126.0,12988.0,128.0,1.0,3.0,8.0,10.0,3.0,1.0,4757.0,49.0,11.0,535.0,295.0,141.0,546.0,10300.0,191.0,9759.0,263.0,944.0,53.0,13916.0,2991.0,390.0,118.0,495.0,59.0,3.0,3.0,3544.0,1754.0,1790.0,1330.0,2214.0,24.53,70.1,78.51,32.31,8.97,88.71,34.0,17.0,17.0,6.0,5.0,1.0,16.0,6.0,10.0,12.0,6.0,6.0,191.0,9759.0,,1.0,1.0,,,,
11.0,Chicago Fire,CHI,4357.0,65.0,173.0,103.0,5310.0,229.0,225.0,394.0,1022.0,9494.0,597.0,539.0,489.0,10.0,35.0,8.0,6.0,7.0,22.0,20.0,221.0,117.0,37.0,2102.0,105.0,6.0,6.0,172.0,1.0,639.0,87.0,527.0,394.0,222.0,2884.0,532.0,52.0,1108.0,1888.0,162.0,447.0,425.0,34.0,29.0,41.0,51.0,46.0,5.0,25.0,1178.0,1198.0,28.0,139.0,585.0,7.0,107.0,148.0,11507.0,115.0,,11.0,6.0,8.0,11.0,1.0,4881.0,46.0,9.0,515.0,300.0,98.0,412.0,8893.0,227.0,8472.0,270.0,867.0,66.0,12490.0,2996.0,423.0,172.0,477.0,64.0,,3.0,3404.0,1717.0,1687.0,1028.0,2376.0,24.71,68.55,76.01,34.99,9.69,81.68,34.0,17.0,17.0,6.0,4.0,2.0,10.0,2.0,8.0,18.0,11.0,7.0,227.0,8472.0,,1.0,,2.0,3.0,1.0,1.0
12.0,LA Galaxy,LA,6344.0,58.0,200.0,129.0,7405.0,284.0,204.0,618.0,1240.0,13549.0,534.0,570.0,576.0,12.0,61.0,18.0,8.0,4.0,37.0,13.0,193.0,87.0,45.0,2247.0,131.0,10.0,2.0,175.0,5.0,597.0,95.0,501.0,376.0,186.0,2844.0,523.0,54.0,948.0,1992.0,190.0,394.0,387.0,34.0,75.0,69.0,37.0,31.0,6.0,31.0,1038.0,1130.0,25.0,121.0,488.0,1.0,93.0,201.0,15684.0,88.0,2.0,8.0,3.0,3.0,8.0,,4596.0,55.0,14.0,565.0,284.0,95.0,351.0,13006.0,204.0,12309.0,377.0,826.0,55.0,16489.0,2940.0,543.0,175.0,497.0,48.0,1.0,2.0,3314.0,1608.0,1706.0,1146.0,2168.0,28.53,75.46,82.17,37.02,12.71,84.24,34.0,17.0,17.0,17.0,12.0,5.0,7.0,1.0,6.0,10.0,4.0,6.0,204.0,12309.0,1.0,1.0,1.0,2.0,1.0,1.0,
13.0,D.C. United,DC,5171.0,49.0,151.0,87.0,5693.0,332.0,204.0,442.0,1195.0,10713.0,677.0,528.0,623.0,7.0,43.0,16.0,9.0,4.0,25.0,17.0,191.0,104.0,51.0,2140.0,76.0,12.0,2.0,136.0,3.0,701.0,71.0,418.0,318.0,225.0,2959.0,655.0,48.0,1180.0,2062.0,128.0,429.0,366.0,34.0,49.0,52.0,37.0,33.0,4.0,49.0,1148.0,1011.0,25.0,190.0,651.0,3.0,75.0,144.0,12997.0,90.0,,5.0,5.0,6.0,5.0,,4958.0,48.0,9.0,515.0,256.0,118.0,457.0,10129.0,201.0,9518.0,257.0,822.0,85.0,13955.0,3242.0,366.0,136.0,407.0,51.0,2.0,2.0,3310.0,1676.0,1634.0,1151.0,2159.0,26.54,68.56,76.77,39.34,14.21,84.44,34.0,17.0,17.0,17.0,11.0,6.0,9.0,2.0,7.0,8.0,4.0,4.0,201.0,9518.0,1.0,,4.0,,,,
14.0,Portland Timbers,POR,4965.0,59.0,143.0,77.0,6222.0,283.0,143.0,476.0,1063.0,11044.0,686.0,492.0,516.0,5.0,48.0,15.0,13.0,4.0,39.0,31.0,222.0,104.0,65.0,2092.0,116.0,7.0,4.0,176.0,2.0,671.0,99.0,526.0,393.0,242.0,2773.0,467.0,51.0,960.0,1958.0,120.0,451.0,501.0,34.0,50.0,61.0,52.0,48.0,4.0,35.0,1164.0,1379.0,31.0,175.0,499.0,3.0,107.0,182.0,12961.0,119.0,,4.0,9.0,10.0,4.0,1.0,4732.0,52.0,15.0,568.0,294.0,114.0,469.0,10396.0,286.0,9981.0,331.0,964.0,96.0,13962.0,2918.0,486.0,176.0,524.0,52.0,2.0,2.0,3551.0,1656.0,1895.0,1008.0,2543.0,21.38,73.01,79.1,37.45,12.55,83.04,34.0,17.0,17.0,12.0,5.0,7.0,9.0,3.0,6.0,13.0,9.0,4.0,286.0,9981.0,1.0,2.0,2.0,3.0,,,
15.0,Montreal Impact,MTL,5614.0,39.0,122.0,75.0,4931.0,351.0,175.0,375.0,1157.0,10423.0,608.0,455.0,461.0,4.0,35.0,9.0,3.0,,24.0,15.0,251.0,104.0,78.0,2188.0,85.0,8.0,6.0,147.0,3.0,744.0,79.0,377.0,283.0,258.0,2659.0,533.0,47.0,1087.0,1939.0,108.0,457.0,358.0,34.0,38.0,38.0,58.0,45.0,13.0,35.0,1257.0,1209.0,29.0,142.0,649.0,4.0,110.0,141.0,12544.0,97.0,1.0,2.0,6.0,7.0,2.0,,4620.0,47.0,12.0,536.0,275.0,121.0,458.0,9818.0,253.0,9266.0,260.0,754.0,89.0,13449.0,3026.0,393.0,147.0,525.0,58.0,4.0,6.0,3382.0,1712.0,1670.0,916.0,2466.0,24.45,67.82,77.5,35.88,9.67,82.68,34.0,17.0,17.0,6.0,6.0,,18.0,6.0,12.0,10.0,5.0,5.0,253.0,9266.0,,1.0,,,2.0,1.0,
16.0,Vancouver Whitecaps FC,VAN,5285.0,39.0,125.0,76.0,6120.0,328.0,155.0,437.0,1077.0,11280.0,695.0,532.0,503.0,5.0,32.0,8.0,10.0,10.0,28.0,31.0,231.0,87.0,52.0,2103.0,104.0,13.0,4.0,162.0,4.0,564.0,90.0,449.0,326.0,211.0,2782.0,463.0,33.0,960.0,1937.0,141.0,434.0,420.0,34.0,35.0,42.0,40.0,33.0,7.0,41.0,1335.0,1242.0,37.0,127.0,577.0,1.0,113.0,158.0,13305.0,112.0,,12.0,5.0,5.0,12.0,,4769.0,49.0,6.0,554.0,301.0,97.0,442.0,10685.0,261.0,10203.0,310.0,931.0,74.0,14177.0,2897.0,452.0,162.0,484.0,59.0,2.0,3.0,3612.0,1867.0,1745.0,1035.0,2577.0,21.78,71.99,79.57,34.96,9.29,81.07,34.0,17.0,17.0,12.0,9.0,3.0,8.0,3.0,5.0,14.0,5.0,9.0,261.0,10203.0,,,1.0,,1.0,,3.0
18.0,Houston Dynamo,HOU,5154.0,58.0,172.0,101.0,5387.0,349.0,162.0,349.0,878.0,10369.0,712.0,534.0,610.0,7.0,35.0,7.0,4.0,3.0,21.0,9.0,209.0,112.0,57.0,2099.0,102.0,10.0,8.0,185.0,3.0,648.0,120.0,549.0,386.0,245.0,2938.0,613.0,38.0,1097.0,1940.0,85.0,425.0,352.0,34.0,35.0,39.0,58.0,53.0,5.0,57.0,1123.0,1109.0,25.0,180.0,490.0,3.0,111.0,154.0,12541.0,118.0,,6.0,9.0,11.0,6.0,1.0,4765.0,49.0,11.0,498.0,260.0,104.0,481.0,9854.0,225.0,9491.0,339.0,783.0,64.0,13406.0,3037.0,450.0,185.0,466.0,51.0,4.0,5.0,3376.0,1657.0,1719.0,1144.0,2232.0,23.86,68.58,77.35,34.22,8.67,80.76,34.0,17.0,17.0,11.0,8.0,3.0,17.0,5.0,12.0,6.0,4.0,2.0,225.0,9491.0,,1.0,2.0,,1.0,2.0,
19.0,Real Salt Lake,RSL,5734.0,40.0,161.0,100.0,6969.0,352.0,124.0,537.0,1154.0,12542.0,768.0,541.0,461.0,7.0,48.0,8.0,6.0,7.0,36.0,19.0,197.0,112.0,45.0,1919.0,105.0,10.0,2.0,163.0,4.0,568.0,109.0,461.0,317.0,180.0,2838.0,478.0,40.0,887.0,2058.0,81.0,424.0,402.0,34.0,43.0,54.0,39.0,32.0,7.0,33.0,1058.0,1096.0,32.0,168.0,471.0,2.0,92.0,166.0,14547.0,83.0,,8.0,4.0,10.0,8.0,5.0,4485.0,56.0,5.0,566.0,280.0,118.0,467.0,11914.0,155.0,11388.0,321.0,894.0,64.0,15487.0,2945.0,441.0,163.0,498.0,50.0,3.0,4.0,3156.0,1599.0,1557.0,1002.0,2154.0,25.88,74.12,80.98,37.64,12.24,84.41,34.0,17.0,17.0,15.0,11.0,4.0,8.0,1.0,7.0,11.0,5.0,6.0,155.0,11388.0,,,1.0,,1.0,2.0,
20.0,FC Dallas,DAL,5040.0,40.0,134.0,83.0,5079.0,330.0,123.0,410.0,1096.0,9985.0,564.0,553.0,582.0,8.0,48.0,15.0,7.0,7.0,28.0,18.0,192.0,103.0,62.0,2094.0,91.0,6.0,10.0,170.0,8.0,609.0,115.0,414.0,267.0,293.0,2714.0,361.0,68.0,963.0,1946.0,245.0,417.0,416.0,34.0,36.0,55.0,45.0,38.0,7.0,25.0,1225.0,1322.0,22.0,165.0,630.0,6.0,120.0,136.0,11950.0,128.0,,9.0,3.0,5.0,9.0,1.0,4768.0,47.0,12.0,511.0,247.0,110.0,492.0,9402.0,328.0,8889.0,240.0,880.0,76.0,12894.0,2909.0,384.0,170.0,506.0,53.0,6.0,9.0,3682.0,1778.0,1904.0,1135.0,2547.0,24.45,68.25,77.44,35.42,14.32,80.83,34.0,17.0,17.0,16.0,12.0,4.0,12.0,4.0,8.0,6.0,1.0,5.0,328.0,8889.0,4.0,3.0,2.0,,3.0,2.0,
21.0,Toronto FC,TOR,5415.0,63.0,170.0,92.0,5338.0,328.0,202.0,464.0,1023.0,10583.0,603.0,522.0,539.0,7.0,39.0,7.0,5.0,3.0,29.0,35.0,198.0,102.0,52.0,2076.0,113.0,6.0,,170.0,3.0,676.0,91.0,453.0,330.0,242.0,2778.0,518.0,55.0,1029.0,1972.0,134.0,425.0,455.0,34.0,38.0,44.0,54.0,47.0,7.0,20.0,1136.0,1202.0,36.0,130.0,572.0,3.0,100.0,152.0,12656.0,100.0,1.0,5.0,6.0,7.0,5.0,1.0,4752.0,49.0,19.0,532.0,329.0,100.0,434.0,9966.0,222.0,9560.0,325.0,864.0,77.0,13584.0,3001.0,461.0,170.0,468.0,59.0,6.0,6.0,3399.0,1658.0,1741.0,1061.0,2338.0,27.29,68.97,77.91,32.97,9.54,82.39,34.0,17.0,17.0,11.0,7.0,4.0,15.0,7.0,8.0,8.0,3.0,5.0,222.0,9560.0,2.0,2.0,1.0,,,,
22.0,Chivas USA,CHV,4452.0,36.0,136.0,92.0,4833.0,268.0,196.0,366.0,892.0,9149.0,603.0,556.0,470.0,6.0,27.0,6.0,2.0,6.0,16.0,17.0,252.0,106.0,55.0,2046.0,75.0,6.0,5.0,123.0,3.0,673.0,70.0,495.0,380.0,193.0,2751.0,592.0,52.0,1082.0,1847.0,149.0,488.0,367.0,34.0,22.0,29.0,61.0,51.0,10.0,31.0,1234.0,1203.0,39.0,150.0,559.0,3.0,115.0,102.0,11109.0,103.0,,7.0,4.0,5.0,7.0,,4646.0,43.0,7.0,532.0,289.0,97.0,439.0,8549.0,215.0,8257.0,199.0,939.0,52.0,12078.0,2929.0,322.0,123.0,544.0,72.0,9.0,9.0,3463.0,1790.0,1673.0,1026.0,2437.0,21.55,67.55,75.75,31.68,9.01,82.55,34.0,17.0,17.0,9.0,6.0,3.0,19.0,9.0,10.0,6.0,2.0,4.0,215.0,8257.0,,,1.0,,,,
23.0,Seattle Sounders FC,SEA,5670.0,56.0,185.0,115.0,6997.0,289.0,134.0,586.0,1014.0,12482.0,619.0,477.0,608.0,7.0,59.0,29.0,6.0,6.0,28.0,24.0,220.0,98.0,54.0,2227.0,113.0,9.0,3.0,166.0,4.0,661.0,95.0,525.0,395.0,185.0,2902.0,368.0,57.0,854.0,2184.0,166.0,453.0,473.0,34.0,65.0,65.0,50.0,41.0,9.0,36.0,1282.0,1243.0,19.0,141.0,667.0,2.0,102.0,187.0,14575.0,102.0,,7.0,6.0,7.0,7.0,1.0,4920.0,51.0,17.0,617.0,303.0,102.0,440.0,11849.0,205.0,11468.0,310.0,787.0,63.0,15520.0,3038.0,470.0,166.0,508.0,56.0,2.0,3.0,3610.0,1759.0,1851.0,1085.0,2525.0,26.06,74.13,80.43,39.79,13.83,83.28,34.0,17.0,17.0,20.0,12.0,8.0,10.0,4.0,6.0,4.0,1.0,3.0,205.0,11468.0,2.0,3.0,1.0,,1.0,,1.0
24.0,Philadelphia Union,PHI,4326.0,61.0,177.0,107.0,6106.0,276.0,220.0,463.0,951.0,10255.0,712.0,529.0,511.0,9.0,47.0,12.0,4.0,7.0,29.0,18.0,202.0,99.0,49.0,2326.0,118.0,6.0,6.0,211.0,1.0,614.0,131.0,646.0,477.0,248.0,3138.0,536.0,41.0,982.0,2124.0,185.0,413.0,390.0,34.0,47.0,51.0,51.0,43.0,8.0,35.0,1223.0,1205.0,32.0,131.0,568.0,5.0,118.0,153.0,12472.0,100.0,,7.0,4.0,7.0,7.0,3.0,5185.0,48.0,6.0,569.0,304.0,91.0,406.0,9663.0,228.0,9304.0,304.0,712.0,76.0,13361.0,3106.0,467.0,211.0,516.0,37.0,5.0,5.0,3468.0,1752.0,1716.0,1040.0,2428.0,21.51,70.41,76.75,32.76,10.92,81.39,34.0,17.0,17.0,10.0,6.0,4.0,12.0,3.0,9.0,12.0,8.0,4.0,228.0,9304.0,1.0,2.0,1.0,2.0,,,2.0
